Temp,Frequency,Power,Error,inv,header
-2.00E+01,2.56E+04,8.10E-11,-0.270276723,2.00E+00,1.00E+00
0,7.87E+04,2.62E-10,0,2.00E+00,1.00E+00
2.00E+01,2.11E+05,7.27E-10,0.11198985,2.00E+00,1.00E+00
4.00E+01,4.98E+05,1.78E-09,0.182033417,2.00E+00,1.00E+00
6.00E+01,1.07E+06,3.94E-09,0.199420388,2.00E+00,1.00E+00
8.00E+01,2.13E+06,7.97E-09,1.42E-14,2.00E+00,1.00E+00
1.00E+02,4.01E+06,1.50E-08,-0.441127326,2.00E+00,1.00E+00
-2.00E+01,3.94E+04,1.37E-10,-0.296591942,2.00E+00,3.00E+00
0,1.22E+05,4.40E-10,0,2.00E+00,3.00E+00
2.00E+01,3.28E+05,1.22E-09,0.205767982,2.00E+00,3.00E+00
4.00E+01,7.78E+05,2.97E-09,0.364379034,2.00E+00,3.00E+00
6.00E+01,1.69E+06,6.53E-09,0.35270203,2.00E+00,3.00E+00
8.00E+01,3.44E+06,1.31E-08,0,2.00E+00,3.00E+00
1.00E+02,6.64E+06,2.45E-08,-0.676400057,2.00E+00,3.00E+00
-2.00E+01,4.83E+04,1.76E-10,-0.329338657,2.00E+00,5.00E+00
0,1.50E+05,5.62E-10,0,2.00E+00,5.00E+00
2.00E+01,4.03E+05,1.55E-09,0.26151943,2.00E+00,5.00E+00
4.00E+01,9.59E+05,3.78E-09,0.464051718,2.00E+00,5.00E+00
6.00E+01,2.09E+06,8.28E-09,0.434191683,2.00E+00,5.00E+00
8.00E+01,4.31E+06,1.66E-08,1.42E-14,2.00E+00,5.00E+00
1.00E+02,8.41E+06,3.09E-08,-0.758807921,2.00E+00,5.00E+00
-2.00E+01,5.53E+04,2.07E-10,-0.36177454,2.00E+00,7.00E+00
0,1.72E+05,6.61E-10,0,2.00E+00,7.00E+00
2.00E+01,4.62E+05,1.82E-09,0.303478526,2.00E+00,7.00E+00
4.00E+01,1.10E+06,4.43E-09,0.52770933,2.00E+00,7.00E+00
6.00E+01,2.41E+06,9.68E-09,0.488728905,2.00E+00,7.00E+00
8.00E+01,5.01E+06,1.94E-08,-1.42E-14,2.00E+00,7.00E+00
1.00E+02,9.84E+06,3.60E-08,-0.811249918,2.00E+00,7.00E+00
-2.00E+01,6.12E+04,2.35E-10,-0.388369485,2.00E+00,9.00E+00
0,1.91E+05,7.46E-10,0,2.00E+00,9.00E+00
2.00E+01,5.12E+05,2.05E-09,0.332280815,2.00E+00,9.00E+00
4.00E+01,1.22E+06,4.98E-09,0.581922908,2.00E+00,9.00E+00
6.00E+01,2.69E+06,1.09E-08,0.534178862,2.00E+00,9.00E+00
8.00E+01,5.61E+06,2.18E-08,-1.42E-14,2.00E+00,9.00E+00
1.00E+02,1.11E+07,4.04E-08,-0.84454926,2.00E+00,9.00E+00
