sample_id,component_name,success,drc_pass,lvs_pass,execution_time,parameters,output_directory,pex_status,total_resistance_ohms,total_capacitance_farads,area_um2,symmetry_horizontal,symmetry_vertical
1,diff_pair_sample_0001,False,True,False,11.38732123374939,"{'width': 12.47328214280731, 'length': 2.726422398892753, 'fingers': 1, 'n_or_p_fet': False, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0001,PEX Complete,231818.09330499812,2.452137259999964e-13,2968.573499999955,1.0,0.9871400859705847
2,diff_pair_sample_0002,False,True,False,13.781893491744995,"{'width': 18.18153185586763, 'length': 1.624341740604512, 'fingers': 1, 'n_or_p_fet': False, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0002,PEX Complete,429493.9970600082,2.846867349999929e-13,3131.448299999937,1.0,0.9902538387748567
3,diff_pair_sample_0003,True,True,True,11.695502996444702,"{'width': 9.49064641206455, 'length': 1.6066354744145548, 'fingers': 3, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0003,PEX Complete,356856.08003180596,1.4937497500000052e-13,2918.384699999928,1.0,0.9849633257740142
4,diff_pair_sample_0004,False,True,False,15.014824867248535,"{'width': 16.178420986561772, 'length': 3.6090409180137133, 'fingers': 2, 'n_or_p_fet': False, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0004,PEX Complete,465829.43637271266,2.5270176899999937e-13,5941.405700000257,1.0,0.9902360480113321
5,diff_pair_sample_0005,False,True,False,7.3469929695129395,"{'width': 1.8419454356460148, 'length': 3.460036674521723, 'fingers': 3, 'n_or_p_fet': False, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0005,PEX Complete,242778.27640599845,2.1473185700000545e-13,1852.923699999989,1.0,0.9623438353128084
6,diff_pair_sample_0006,True,True,True,14.276268243789673,"{'width': 18.490149688070815, 'length': 3.525323308218296, 'fingers': 1, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0006,PEX Complete,407587.02073599986,1.51016156e-13,4796.7253,1.0,0.9908805284305107
7,diff_pair_sample_0007,True,True,True,17.26917052268982,"{'width': 18.324691461199127, 'length': 0.9417679821049486, 'fingers': 3, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0007,PEX Complete,440540.09949980595,2.1683459500000248e-13,3851.385899999771,1.0,0.9909913987066312
8,diff_pair_sample_0008,False,True,False,15.074241399765015,"{'width': 13.571029679512701, 'length': 2.942902850511738, 'fingers': 3, 'n_or_p_fet': False, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0008,PEX Complete,433803.5893520102,2.869783420000013e-13,5645.5883000002195,1.0,0.9889231030183342
9,diff_pair_sample_0009,True,True,True,13.182835578918457,"{'width': 10.52565866480733, 'length': 0.4193635019799994, 'fingers': 4, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0009,PEX Complete,276524.77263649856,1.5792875099999997e-13,2126.8019000000177,1.0,0.985928167545835
10,diff_pair_sample_0010,True,True,True,10.67893648147583,"{'width': 5.203533995636747, 'length': 1.8319544955907665, 'fingers': 5, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0010,PEX Complete,390380.39239580516,1.6020521200000016e-13,2845.311199999943,1.0,0.9781438318592353
