sample_number,runtime_seconds,success,param_width,param_length,param_fingers,param_multipliers,error,verification_drc,verification_lvs,verification_pex
11,0.0001142024993896,False,"[15.56987768790995, 19.431313875884364]","[2.2925198967864566, 0.8947369421533957]","[5, 5]","[2, 2]",Sample 11 failed: 'nchannel_width',,,
12,8.225440979003906e-05,False,"[1.5888546693639678, 1.9815354751440617]","[3.857791041203669, 2.281199683999343]","[1, 1]","[2, 2]",Sample 12 failed: 'nchannel_width',,,
13,8.225440979003906e-05,False,"[11.15845668836244, 3.801374132848093]","[2.7256517671023537, 0.7273582763072932]","[2, 2]","[1, 1]",Sample 13 failed: 'nchannel_width',,,
14,7.605552673339844e-05,False,"[13.78077487319354, 14.962677041482275]","[3.0624255664614433, 2.9069709661528274]","[2, 2]","[2, 2]",Sample 14 failed: 'nchannel_width',,,
15,7.462501525878906e-05,False,"[14.007755711885011, 9.122047733394593]","[1.9183089077860427, 1.9957952960844325]","[5, 5]","[1, 1]",Sample 15 failed: 'nchannel_width',,,
16,7.724761962890625e-05,False,"[5.212330711225429, 7.961568119901045]","[1.5636192049502369, 3.9660237719947413]","[2, 2]","[1, 1]",Sample 16 failed: 'nchannel_width',,,
17,7.414817810058594e-05,False,"[5.410614963799942, 13.121026008435845]","[1.0824852621556507, 0.7601489606122948]","[2, 2]","[1, 1]",Sample 17 failed: 'nchannel_width',,,
18,7.987022399902344e-05,False,"[9.076995261129627, 10.597420054549845]","[1.358619245048224, 3.048885823608301]","[3, 3]","[2, 2]",Sample 18 failed: 'nchannel_width',,,
19,7.462501525878906e-05,False,"[5.096793200356354, 2.524690900128129]","[0.7263776722224855, 0.7028333600785767]","[3, 3]","[1, 1]",Sample 19 failed: 'nchannel_width',,,
20,7.653236389160156e-05,False,"[3.1038746086177484, 5.017963139814127]","[2.0642771310674304, 2.7721599594747013]","[2, 2]","[2, 2]",Sample 20 failed: 'nchannel_width',,,
21,0.0001204013824462,False,"[18.18022942981808, 9.917877281009593]","[3.907330107595179, 2.803285771291777]","[5, 5]","[2, 2]",Sample 21 failed: 'nchannel_width',,,
