Temp,Frequency,Power,Error,inv,header
-20,127,3.23287855929203E-07,0.794666934962595,4,3
0,558.7,3.23287855929203E-07,0.535215985696592,4,3
20,2231.9,3.23287855929203E-07,0.100672446150601,4,3
40,7771.5,3.23287855929203E-07,0.210243112028998,4,3
60,23086.3,3.23287855929203E-07,0.1586664917468,4,3
80,60537.6,3.23287855929203E-07,0.0625856895137332,4,3
100,142937.2,3.23287855929203E-07,-0.0996065678304234,4,3
-20,129.5,2.44027697469062E-07,0.650577204396424,6,3
0,597.875,2.44027697469062E-07,-0.0797415091682236,6,3
20,2347.75,2.44027697469062E-07,-0.311720262269828,6,3
40,7900,2.44027697469062E-07,-0.189232745786649,6,3
60,22885.25,2.44027697469062E-07,-0.13116209098111,6,3
80,58738.25,2.44027697469062E-07,-0.0421202589955563,6,3
100,136055.5,2.44027697469062E-07,0.0106208745231804,6,3
-20,110.75,3.69884795586376E-07,1.72018259960235,8,3
0,452.15,3.69884795586376E-07,-0.588161938073084,8,3
20,1777.8,3.69884795586376E-07,-0.974724304781207,8,3
40,6106.8,3.69884795586376E-07,-0.683090836305152,8,3
60,18084.5,3.69884795586376E-07,-0.344211278130195,8,3
80,47044.45,3.69884795586376E-07,-0.0883244246710987,8,3
100,109803.5,3.69884795586376E-07,0.0451803635946391,8,3
-20,94.9444444444444,3.95098429828018E-07,2.03700381744706,10,3
0,376.611111111111,3.95098429828018E-07,-0.516267958741321,10,3
20,1487.83333333333,3.95098429828018E-07,-0.813659370356296,10,3
40,5092.05555555556,3.95098429828018E-07,-0.5829864593805,10,3
60,15048.1111111111,3.95098429828018E-07,-0.29746623534132,10,3
80,39145.2222222222,3.95098429828018E-07,-0.0902366852782074,10,3
100,91621.4444444444,3.95098429828018E-07,0.0614662192353216,10,3
-20,116,3.64836303627038E-07,0.251817387483076,4,5
0,590.833333333333,3.64836303627038E-07,-0.145793081213037,4,5
20,2455.66666666667,3.64836303627038E-07,-0.336101638668978,4,5
40,8637.33333333333,3.64836303627038E-07,-0.268424978317929,4,5
60,26240.6666666667,3.64836303627038E-07,-0.187706622469885,4,5
80,70493,3.64836303627038E-07,-0.0614527810082042,4,5
100,170370.333333333,3.64836303627038E-07,-5.74384028387461E-05,4,5
-20,180.125,4.81986568664761E-07,2.87373386402416,6,5
0,685.375,4.81986568664761E-07,-0.200450513002048,6,5
20,2713.25,4.81986568664761E-07,-0.334425085666278,6,5
40,9142.25,4.81986568664761E-07,-0.223903728970939,6,5
60,26568.375,4.81986568664761E-07,-0.147698454149502,6,5
80,68457.25,4.81986568664761E-07,-0.0773386934485103,6,5
100,160246.25,4.81986568664761E-07,0.115900829950718,6,5
-20,145,1.945946705625E-07,2.64870100861324,8,5
0,507.25,1.945946705625E-07,-1.20397539297392,8,5
20,1866.5,1.945946705625E-07,-2.15106306636637,8,5
40,6288.25,1.945946705625E-07,-1.79488826879576,8,5
60,18515.25,1.945946705625E-07,-1.14634149123907,8,5
80,48256.25,1.945946705625E-07,-0.422153731635674,8,5
100,113495,1.945946705625E-07,0.387494049948138,8,5
-20,134.2,3.42274247262271E-07,2.70602845436118,10,5
0,496.4,3.42274247262271E-07,-0.892753187463528,10,5
20,1921.4,3.42274247262271E-07,-1.317147850493,10,5
40,6572.8,3.42274247262271E-07,-0.885693438191245,10,5
60,19301.7,3.42274247262271E-07,-0.502718670344119,10,5
80,49993.9,3.42274247262271E-07,-0.159256411818663,10,5
100,116645.4,3.42274247262271E-07,0.142977487720188,10,5
-20,178.5,2.85560076954724E-07,0.528263670377131,4,7
0,874.833333333333,2.85560076954724E-07,-0.205096235516208,4,7
20,3660.33333333333,2.85560076954724E-07,-0.273595103215971,4,7
40,12875.8333333333,2.85560076954724E-07,-0.132329185973916,4,7
60,38443.5,2.85560076954724E-07,-0.373958815261965,4,7
80,103365.833333333,2.85560076954724E-07,-0.145058562752231,4,7
100,249120.333333333,2.85560076954724E-07,0.0350363350387208,4,7
-20,202.75,4.42129484968731E-07,2.03113461362493,6,7
0,809,4.42129484968731E-07,-0.57849370717417,6,7
20,3236.375,4.42129484968731E-07,-0.715499022873069,6,7
40,11046.5,4.42129484968731E-07,-0.514103658592521,6,7
60,32552.5,4.42129484968731E-07,-0.281547256826604,6,7
80,84590.875,4.42129484968731E-07,-0.0648084468041361,6,7
