Temp,Frequency,Power,Error,inv,header
-20,48.191,0.000179328,1.32451,6,1
0,293.86,0.000252081,0,6,1
20,1324.11,0.000334946,-0.713504,6,1
40,4676.14,0.000426214,-0.826518,6,1
60,13718.7,0.000524947,-0.517363,6,1
80,35069.8,0.000626464,0,6,1
100,79896.5,0.000736329,0.720428,6,1
-20,24.6979,0.0001465,1.10001,8,1
0,153.028,0.000204677,0,8,1
20,708.363,0.000271241,-0.630321,8,1
40,2601.44,0.00034525,-0.84071,8,1
60,7890.65,0.000425115,-0.612797,8,1
80,20502.9,0.000508228,0,8,1
100,47031.3,0.000599528,0.924686,8,1
-20,97.8831,0.000165664,3.68725,2,3
0,736.756,0.000233051,0,2,3
20,2737.42,0.000310328,0.962168,2,3
40,10282.2,0.000395048,-0.135223,2,3
60,30745.8,0.000487544,-0.383735,2,3
80,77356.6,0.000581347,-1.42109E-14,2,3
100,0,0.000599528,0.924686,2,3
-20,66.2031,0.000162397,1.23676,4,3
0,407.782,0.000230394,0,4,3
20,1849.01,0.000309239,-0.611795,4,3
40,6648.71,0.000397455,-0.778963,4,3
60,19794.1,0.000493738,-0.517656,4,3
80,51056.8,0.000595852,0,4,3
100,117693,0.000703314,0.66567,4,3
-20,50.8913,0.000138789,1.25702,6,3
0,314.559,0.000195815,0,6,3
20,1432.49,0.000262282,-0.641062,6,3
40,5133.09,0.000337061,-0.750011,6,3
60,15304.8,0.000418434,-0.482873,6,3
80,39659.5,0.000504554,2.84217E-14,6,3
100,91361.5,0.000599775,0.697678,6,3
-20,44.1145,0.000125085,1.24997,8,3
0,274.575,0.000179474,0,8,3
20,1260.84,0.000243981,-0.658219,8,3
40,4566.51,0.000318666,-0.823182,8,3
60,13714.9,0.000401676,-0.585506,8,3
80,35410.1,0.000495961,0,8,3
100,80792.5,0.000591722,0.888129,8,3
-20,69.1246,0.000153608,4.80872,2,5
0,419.191,0.00021906,0,2,5
20,1924.13,0.000295668,-4.39815,2,5
40,4371.12,0.000381909,-1.94761,2,5
60,19723.8,0.000477305,-10.7374,2,5
80,20734.9,0.000577231,0,2,5
100,59557.2,0.000684775,-5.47341,2,5
-20,102.564,0.000159051,1.57498,4,5
0,633.61,0.000225003,0,4,5
20,2851.37,0.00030113,-0.842198,4,5
40,9967.02,0.000386178,-0.991463,4,5
60,28668.4,0.000477722,-0.596084,4,5
80,72031.3,0.000576843,-1.42109E-14,4,5
100,163585,0.000681289,0.627627,4,5
-20,59.749,0.000144746,1.34514,6,5
0,371.152,0.000204657,0,6,5
20,1686.8,0.000274353,-0.663412,6,5
40,6005.84,0.000352881,-0.743368,6,5
60,17825.5,0.000440182,-0.461683,6,5
80,46128.8,0.000533768,0,6,5
100,106044,0.0006325,0.687535,6,5
-20,0,0.000144746,1.34514,8,5
0,371.152,0.000204657,0,8,5
20,1686.8,0.000274353,-0.663412,8,5
40,6005.84,0.000352881,-0.743368,8,5
60,17825.5,0.000440182,-0.461683,8,5
80,46128.8,0.000533768,0,8,5
100,106044,0.0006325,0.687535,8,5
-20,69.9921,0.000152066,-0.611954,2,7
0,439.367,0.000214686,0,2,7
20,1934.32,0.000286774,1.62061,2,7
40,6945.28,0.000366341,3.39176,2,7
60,39417.3,0.000449535,-1.56689,2,7
80,105057,0.000544804,0,2,7
100,241756,0.000647148,2.08226,2,7
-20,121.957,0.000174658,1.65704,4,7
0,735.928,0.000243651,0,4,7
20,2944.84,0.000323046,0.133035,4,7
40,9284.78,0.000411512,0.973407,4,7
60,30233.2,0.000506103,-0.276981,4,7
80,76596.2,0.000608556,1.42109E-14,4,7
100,184936,0.000716876,-0.431978,4,7
-20,97.7177,0.0001773,1.49948,6,7
0,603.75,0.000247951,0,6,7
20,2706.06,0.000328767,-0.723724,6,7
40,9506.53,0.000417988,-0.85325,6,7
60,27829,0.000513144,-0.599472,6,7
80,70224.7,0.00061604,0,6,7
100,159790,0.000724615,0.657178,6,7
2.9224e-320,0,0.0001773,1.49948,8,7
0,603.75,0.000247951,0,8,7
20,2706.06,0.000328767,-0.723724,8,7
40,9506.53,0.000417988,-0.85325,8,7
60,27829,0.000513144,-0.599472,8,7
80,70224.7,0.00061604,0,8,7
100,159790,0.000724615,0.657178,8,7
-20,172.7,0.000142848,-5.30191,2,9
0,516.371,0.000201774,0,2,9
20,1461.74,0.000269556,4.28699,2,9
40,14824.4,0.000343353,-7.55032,2,9
60,45050.1,0.000425822,-8.10178,2,9
80,61736.2,0.000513964,-1.42109E-14,2,9
100,0,0.000724615,0.657178,2,9
-20,136.496,0.00015709,1.82608,4,9
0,860.849,0.000220839,0,4,9
20,3796.19,0.00029435,-0.692945,4,9
40,13161.3,0.000377409,-0.806043,4,9
60,38168.9,0.000462039,-0.565325,4,9
80,95663.8,0.000560265,-1.42109E-14,4,9
100,216549,0.000665746,0.610646,4,9
-20,95.3223,0.000152398,1.61342,6,9
0,593.277,0.00021139,0,6,9
20,2664.65,0.000278023,-0.790037,6,9
40,9355.93,0.000351191,-0.957165,6,9
60,27121.9,0.000429015,-0.6267,6,9
80,68114.9,0.000512727,0,6,9
100,153783,0.000600636,0.733216,6,9
-20,0,0.000152398,1.61342,8,9
0,593.277,0.00021139,0,8,9
20,2664.65,0.000278023,-0.790037,8,9
40,9355.93,0.000351191,-0.957165,8,9
60,27121.9,0.000429015,-0.6267,8,9
80,68114.9,0.000512727,0,8,9
100,153783,0.000600636,0.733216,8,9
