Temp,Frequency,Power,Error,inv,header,HeaderType,StdCellType
-20,1136,1.0670013682905e-06,0.262774850993427,4,3,A,hs
0,4565,1.0670013682905e-06,0.207471938929628,4,3,A,hs
20,15399,1.0670013682905e-06,0.404242766230045,4,3,A,hs
40,42988,1.0670013682905e-06,-0.0644694467463864,4,3,A,hs
60,108467,1.0670013682905e-06,-0.0866322612011814,4,3,A,hs
80,246759,1.0670013682905e-06,-0.0781391252297539,4,3,A,hs
100,515519,1.0670013682905e-06,0.0156799064997841,4,3,A,hs
-20,1383.8,8.93042176539578e-07,0.210006369571915,6,3,A,hs
0,5299.6,8.93042176539578e-07,0.0121941457373135,6,3,A,hs
20,16754.8,8.93042176539578e-07,-0.416115328635379,6,3,A,hs
40,46988.2,8.93042176539578e-07,-0.358050605298483,6,3,A,hs
60,116161.4,8.93042176539578e-07,-0.328085001469776,6,3,A,hs
80,260833.4,8.93042176539578e-07,-0.121167438445349,6,3,A,hs
100,537549.6,8.93042176539578e-07,0.14915958002041,6,3,A,hs
-20,1143,8.87473449191915e-07,-0.304955370595123,8,3,A,hs
0,4289.71428571429,8.87473449191915e-07,-0.468697513151149,8,3,A,hs
20,13336.4285714286,8.87473449191915e-07,-1.05804748832666,8,3,A,hs
40,37365.2857142857,8.87473449191915e-07,-0.832948713307688,8,3,A,hs
60,92424.4285714286,8.87473449191915e-07,-0.566891282830233,8,3,A,hs
80,206652.285714286,8.87473449191915e-07,-0.214780987184548,8,3,A,hs
100,424912.142857143,8.87473449191915e-07,0.251082252857224,8,3,A,hs
-20,923.333333333333,6.88221076152346e-07,0.571165298885872,10,3,A,hs
0,3404.66666666667,6.88221076152346e-07,-0.190604661637856,10,3,A,hs
20,10955,6.88221076152346e-07,-0.492431768575361,10,3,A,hs
40,30942.5,6.88221076152346e-07,-0.415114330105454,10,3,A,hs
60,77392.1666666667,6.88221076152346e-07,-0.264666549883647,10,3,A,hs
80,174489.333333333,6.88221076152346e-07,-0.0955569648908205,10,3,A,hs
100,360206.166666667,6.88221076152346e-07,0.0623312418777691,10,3,A,hs
-20,1749.66666666667,9.37437548663246e-07,-0.0250378556907561,4,5,A,hs
0,6995.66666666667,9.37437548663246e-07,-0.0149110096274039,4,5,A,hs
20,22675,9.37437548663246e-07,-0.420802667896633,4,5,A,hs
40,65573.6666666667,9.37437548663246e-07,-0.119608907901285,4,5,A,hs
60,164993.666666667,9.37437548663246e-07,-0.0533740183146231,4,5,A,hs
80,373377.333333333,9.37437548663246e-07,-0.00807418477873038,4,5,A,hs
100,771328.666666667,9.37437548663246e-07,-0.0653128480867527,4,5,A,hs
-20,1668,7.99065634862221e-07,0.0929068724990323,6,5,A,hs
0,6462.75,7.99065634862221e-07,-0.0341791742021907,6,5,A,hs
20,20581,7.99065634862221e-07,-0.350540698219863,6,5,A,hs
40,57911.75,7.99065634862221e-07,-0.176618348581544,6,5,A,hs
60,143006,7.99065634862221e-07,-0.148698154713152,6,5,A,hs
80,319577.75,7.99065634862221e-07,-0.0498157181737824,6,5,A,hs
100,655101,7.99065634862221e-07,0.0474603637367466,6,5,A,hs
-20,1084.42857142857,7.40275597312887e-07,-0.177602582191109,8,5,A,hs
0,4383.85714285714,7.40275597312887e-07,0.0239008507052343,8,5,A,hs
20,14053.8571428571,7.40275597312887e-07,-0.418064838588446,8,5,A,hs
40,40048.4285714286,7.40275597312887e-07,-0.27875360541988,8,5,A,hs
60,100360.142857143,7.40275597312887e-07,-0.181248668776121,8,5,A,hs
80,226699.285714286,7.40275597312887e-07,-0.0696986073737419,8,5,A,hs
100,468898.285714286,7.40275597312887e-07,0.0277143702749681,8,5,A,hs
-20,1218.5,7.83093835485074e-07,0.35050986951104,10,5,A,hs
0,4591,7.83093835485074e-07,0.102950061592888,10,5,A,hs
20,14677.6666666667,7.83093835485074e-07,-0.0344964491176588,10,5,A,hs
40,41049.8333333333,7.83093835485074e-07,0.0785567144443912,10,5,A,hs
60,100970,7.83093835485074e-07,0.0721007187737044,10,5,A,hs
80,224300,7.83093835485074e-07,0.0466403245753142,10,5,A,hs
100,456686.833333333,7.83093835485074e-07,-0.0497397367533215,10,5,A,hs
-20,1766,8.08816884149659e-07,2.01521070447073,4,7,A,hs
0,6163,8.08816884149659e-07,-0.0475966395580708,4,7,A,hs
20,19993,8.08816884149659e-07,-0.689959458985285,4,7,A,hs
40,57530,8.08816884149659e-07,-0.806414680465124,4,7,A,hs
60,147947,8.08816884149659e-07,-0.60124363997145,4,7,A,hs
80,343036,8.08816884149659e-07,-0.277174389502179,4,7,A,hs
100,730415,8.08816884149659e-07,0.230408092487295,4,7,A,hs
-20,1623,7.20645366208272e-07,0.538722390397245,6,7,A,hs
0,6111,7.20645366208272e-07,-0.148547436933202,6,7,A,hs
20,19508,7.20645366208272e-07,-0.647558123925648,6,7,A,hs
