,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq0 (kHz)
0,-10,0,0,0,6,32.768,1,0.016
1,-10,0,0,1,6,32.768,168,2.7
2,-10,0,0,2,6,32.768,1,0.016
3,-10,0,0,3,6,32.768,108,1.729
4,-10,0,1,0,6,32.768,0,0.0
5,-10,0,1,1,6,32.768,222,3.519
6,-10,0,1,2,6,32.768,1,0.016
7,-10,0,1,3,6,32.768,127,1.986
8,-10,0,2,0,6,32.768,0,0.0
9,-10,0,2,1,6,32.768,1,0.016
10,-10,0,2,2,6,32.768,1,0.018000000000000002
11,-10,0,2,3,6,32.768,0,0.0
12,-10,0,3,0,6,32.768,242,3.876
13,-10,0,3,1,6,32.768,0,0.0
14,-10,0,3,2,6,32.768,191,3.108
15,-10,0,3,3,6,32.768,169,2.704
16,-10,0,4,0,7,32.768,0,0.0
17,-10,0,4,1,7,32.768,1,0.008
18,-10,0,4,2,7,32.768,20,0.177
19,-10,0,4,3,7,32.768,18,0.155
20,-10,0,5,0,7,32.768,1,0.008
21,-10,0,5,1,7,32.768,1,0.008
22,-10,0,5,2,7,32.768,1,0.008
23,-10,0,5,3,7,32.768,32,0.252
24,-10,0,6,0,7,32.768,0,0.0
25,-10,0,6,1,7,32.768,1,0.008
26,-10,0,6,2,7,32.768,44,0.33
27,-10,0,6,3,7,32.768,29,0.229
28,-10,0,7,0,7,32.768,1,0.008
29,-10,0,7,1,7,32.768,49,0.386
30,-10,0,7,2,7,32.768,31,0.249
31,-10,0,7,3,7,32.768,28,0.233
32,-10,1,0,0,0,32.768,1,1.024
33,-10,1,0,1,0,32.768,1,1.024
34,-10,1,0,2,0,32.768,1,1.024
35,-10,1,0,3,0,32.768,3703,3800.0
36,-10,1,1,0,0,32.768,1,1.024
37,-10,1,1,1,0,32.768,1,1.024
38,-10,1,1,2,0,32.768,1,1.024
39,-10,1,1,3,0,32.768,2716,2620.864
40,-10,1,2,0,0,32.768,11886,12194.368
41,-10,1,2,1,0,32.768,1,1.024
42,-10,1,2,2,0,32.768,1,1.024
43,-10,1,2,3,0,32.768,1,1.024
44,-10,1,3,0,0,32.768,0,0.0
45,-10,1,3,1,0,32.768,0,0.0
46,-10,1,3,2,0,32.768,0,0.0
47,-10,1,3,3,0,32.768,1,1.024
48,-10,1,4,0,0,32.768,0,0.0
49,-10,1,4,1,0,32.768,1,1.024
50,-10,1,4,2,0,32.768,2571,2628.48
51,-10,1,4,3,0,32.768,1,1.024
52,-10,1,5,0,0,32.768,0,0.0
53,-10,1,5,1,0,32.768,3779,3859.328
54,-10,1,5,2,0,32.768,3473,3562.944
55,-10,1,5,3,0,32.768,2779,2854.208
56,-10,1,6,0,0,32.768,1,1.024
57,-10,1,6,1,0,32.768,1,1.024
58,-10,1,6,2,0,32.768,0,0.0
59,-10,1,6,3,0,32.768,3877,3973.184
60,-10,1,7,0,0,32.768,7702,7869.888
61,-10,1,7,1,0,32.768,1,1.024
62,-10,1,7,2,0,32.768,0,0.0
63,-10,1,7,3,0,32.768,4976,5095.168
