,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq0 (kHz)
0,50,0,0,0,6,32.768,0,0.0
1,50,0,0,1,6,32.768,4444,71.23
2,50,0,0,2,6,32.768,1,0.016
3,50,0,0,3,6,32.768,3265,52.214
4,50,0,1,0,6,32.768,6830,109.155
5,50,0,1,1,6,32.768,0,0.0
6,50,0,1,2,6,32.768,4176,66.812
7,50,0,1,3,6,32.768,3905,62.439
8,50,0,2,0,6,32.768,1,0.016
9,50,0,2,1,6,32.768,1,0.016
10,50,0,2,2,6,32.768,0,0.0
11,50,0,2,3,6,32.768,0,0.0
12,50,0,3,0,6,32.768,0,0.0
13,50,0,3,1,6,32.768,5956,95.396
14,50,0,3,2,6,32.768,1,0.016
15,50,0,3,3,6,32.768,4406,70.47500000000001
16,50,0,4,0,7,32.768,1416,11.338000000000001
17,50,0,4,1,7,32.768,1,0.009000000000000001
18,50,0,4,2,7,32.768,1382,11.071
19,50,0,4,3,7,32.768,991,7.9225
20,50,0,5,0,7,32.768,2116,16.927
21,50,0,5,1,7,32.768,1,0.008
22,50,0,5,2,7,32.768,1317,10.5335
23,50,0,5,3,7,32.768,1,0.004
24,50,0,6,0,7,32.768,2357,18.866500000000002
25,50,0,6,1,7,32.768,0,0.0
26,50,0,6,2,7,32.768,1802,14.4115
27,50,0,6,3,7,32.768,1389,11.1095
28,50,0,7,0,7,32.768,1,0.008
29,50,0,7,1,7,32.768,2241,17.934
30,50,0,7,2,7,32.768,1960,15.6865
31,50,0,7,3,7,32.768,1766,14.134500000000001
32,50,1,0,0,0,32.768,1,1.024
33,50,1,0,1,0,32.768,21194,21633.792
34,50,1,0,2,0,32.768,21826,22323.648
35,50,1,0,3,0,32.768,20319,20745.024
36,50,1,1,0,0,32.768,1,1.024
37,50,1,1,1,0,32.768,1,1.024
38,50,1,1,2,0,32.768,28034,28610.88
39,50,1,1,3,0,32.768,28784,29426.816
40,50,1,2,0,0,32.768,0,0.0
41,50,1,2,1,0,32.768,44391,45491.776
42,50,1,2,2,0,32.768,1,1.024
43,50,1,2,3,0,32.768,33818,34683.968
44,50,1,3,0,0,32.768,1,1.024
45,50,1,3,1,0,32.768,1,1.024
46,50,1,3,2,0,32.768,47753,48785.088
47,50,1,3,3,0,32.768,38725,39601.856
48,50,1,4,0,0,32.768,1,1.024
49,50,1,4,1,0,32.768,15899,16282.24
50,50,1,4,2,0,32.768,12966,13303.744
51,50,1,4,3,0,32.768,11626,11904.0
52,50,1,5,0,0,32.768,0,0.0
53,50,1,5,1,0,32.768,20989,21442.304
54,50,1,5,2,0,32.768,1,1.024
55,50,1,5,3,0,32.768,15745,16077.952000000001
56,50,1,6,0,0,32.768,33825,34665.152
57,50,1,6,1,0,32.768,27818,28540.16
58,50,1,6,2,0,32.768,23342,23832.576
59,50,1,6,3,0,32.768,21639,22196.288
60,50,1,7,0,0,32.768,43615,44821.76
61,50,1,7,1,0,32.768,1,1.024
62,50,1,7,2,0,32.768,30878,31581.888
63,50,1,7,3,0,32.768,26912,27615.936
