,Ivdd (A),Ivdd1v8 (A)
0,1.7521957091722572e-06,8.151934474272929e-07
1,8.888357244186045e-06,1.0638253953488372e-06
2,1.5488363991130811e-06,7.093328181818187e-07
3,5.419811079611651e-06,1.011787234951456e-06
4,1.9619941454965354e-07,9.186541027713626e-07
5,1.5715235357967677e-06,7.752798406466504e-07
6,1.47120449090909e-06,8.646972454545454e-07
7,7.757204030232554e-06,1.0250019093023255e-06
8,4.8215034977777785e-06,1.2489333977777782e-06
9,2.488705270000001e-06,7.674177199999999e-07
10,1.7129589791666666e-06,8.152717800925928e-07
11,1.967519362186789e-07,9.08942913439636e-07
12,1.417642046632124e-05,1.0999405505181362e-06
13,1.937254511189634e-07,8.394213792697289e-07
14,1.1169542638297861e-05,1.1119583723404258e-06
15,7.170708661764705e-06,1.1926418627450987e-06
16,1.9348622535211267e-07,8.769584354460095e-07
17,1.4782449415730338e-06,6.799385999999996e-07
18,2.4322973300395254e-06,8.7305095652174e-07
19,1.815605291262133e-06,8.613410841423946e-07
20,6.166548298192775e-07,8.361881415662652e-07
21,1.964603439461884e-06,6.941111681614351e-07
22,1.80453612631579e-06,6.848068252631578e-07
23,1.7140454879227053e-06,8.278582995169082e-07
24,1.9447330105017506e-07,8.818981038506429e-07
25,4.568551945578233e-06,9.593518122448984e-07
26,1.9388587058823527e-06,9.311432499999997e-07
27,2.005954103969753e-06,7.925111304347823e-07
28,2.228062886904761e-06,7.167948571428564e-07
29,2.6213287431372528e-06,8.491227529411767e-07
30,2.0788121409168068e-06,7.939909117147704e-07
31,2.092628297520661e-06,9.268642033057843e-07
32,1.537766248306999e-06,1.9872386410835214e-06
33,1.5254812806236086e-06,2.0991471247216024e-06
34,1.4291699534883723e-06,1.9263112837209305e-06
35,0.004130443607843135,2.0770810980392164e-05
36,1.8157945365344453e-06,2.4875397912317333e-06
37,1.599611824675326e-06,2.622506515151515e-06
38,2.291517976878612e-06,2.462001464354526e-06
39,0.0077992387006369564,2.8133778089171974e-05
40,0.00021859801668806182,2.1608640821566124e-05
41,9.69439410926366e-07,3.957531971496433e-06
42,1.2807699689737474e-06,3.2465057995226754e-06
43,0.009230653954081628,3.061282346938781e-05
44,2.0100754295532661e-07,3.5411280297823596e-06
45,2.0295430180180174e-07,3.9523057432432395e-06
46,2.0186913431151233e-07,3.7706010270880313e-06
47,2.137465487854249e-06,3.569680263157893e-06
48,2.049462791519435e-07,1.7532823121319197e-06
49,1.5139728344226584e-06,1.3421592418300638e-06
50,0.0031258773180076658,1.510191966794381e-05
51,4.733804817320702e-05,2.5734239918809173e-06
52,2.0100756975381032e-07,2.1131081359906204e-06
53,0.0043064509999999985,2.104282453333335e-05
54,0.00436708696428572,1.8025964923469385e-05
55,0.003375335019556716,1.6499357235984364e-05
56,1.3604159760348589e-06,2.3616614596949887e-06
57,0.007511720535248053,2.525633798955616e-05
58,0.004957391709844561,2.22784419689119e-05
59,0.004853869452411993,2.0473162190352012e-05
60,0.004160287884130987,3.7763220528967264e-05
61,1.5557195010526333e-06,6.081288589473686e-06
62,0.00642069844647519,3.6265124934725847e-05
63,0.005324272043422737,3.2805123243933595e-05
