,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq0 (kHz)
0,-10,0,0,0,6,32.768,0,0.0
1,-10,0,0,1,6,32.768,186,2.902
2,-10,0,0,2,6,32.768,0,0.0
3,-10,0,0,3,6,32.768,109,1.762
4,-10,0,1,0,6,32.768,200,3.216
5,-10,0,1,1,6,32.768,175,2.819
6,-10,0,1,2,6,32.768,160,2.569
7,-10,0,1,3,6,32.768,104,1.6540000000000001
8,-10,0,2,0,6,32.768,0,0.0
9,-10,0,2,1,6,32.768,3,0.169
10,-10,0,2,2,6,32.768,0,0.0
11,-10,0,2,3,6,32.768,171,2.8930000000000002
12,-10,0,3,0,6,32.768,1,0.017
13,-10,0,3,1,6,32.768,7,0.182
14,-10,0,3,2,6,32.768,2,0.018000000000000002
15,-10,0,3,3,6,32.768,169,2.613
16,-10,0,4,0,7,32.768,38,0.308
17,-10,0,4,1,7,32.768,38,0.313
18,-10,0,4,2,7,32.768,23,0.1935
19,-10,0,4,3,7,32.768,28,0.229
20,-10,0,5,0,7,32.768,23,0.1845
21,-10,0,5,1,7,32.768,1,0.008
22,-10,0,5,2,7,32.768,1,0.008
23,-10,0,5,3,7,32.768,1,0.008
24,-10,0,6,0,7,32.768,115,0.849
25,-10,0,6,1,7,32.768,1,0.008
26,-10,0,6,2,7,32.768,34,0.273
27,-10,0,6,3,7,32.768,27,0.2105
28,-10,0,7,0,7,32.768,1,0.008
29,-10,0,7,1,7,32.768,47,0.34900000000000003
30,-10,0,7,2,7,32.768,0,0.006
31,-10,0,7,3,7,32.768,29,0.2465
32,-10,1,0,0,0,32.768,5488,5632.832
33,-10,1,0,1,0,32.768,1,1.024
34,-10,1,0,2,0,32.768,4616,4714.816
35,-10,1,0,3,0,32.768,1,1.024
36,-10,1,1,0,0,32.768,1,1.024
37,-10,1,1,1,0,32.768,0,0.0
38,-10,1,1,2,0,32.768,0,0.0
39,-10,1,1,3,0,32.768,5306,5426.496
40,-10,1,2,0,0,32.768,1,1.024
41,-10,1,2,1,0,32.768,7216,6938.816
42,-10,1,2,2,0,32.768,1,1.024
43,-10,1,2,3,0,32.768,0,0.0
44,-10,1,3,0,0,32.768,0,0.0
45,-10,1,3,1,0,32.768,11268,11513.408
46,-10,1,3,2,0,32.768,0,0.0
47,-10,1,3,3,0,32.768,8771,8956.352
48,-10,1,4,0,0,32.768,3351,3433.664
49,-10,1,4,1,0,32.768,1,1.024
50,-10,1,4,2,0,32.768,2166,2222.784
51,-10,1,4,3,0,32.768,2355,2407.488
52,-10,1,5,0,0,32.768,1,1.024
53,-10,1,5,1,0,32.768,3600,3692.416
54,-10,1,5,2,0,32.768,1,1.024
55,-10,1,5,3,0,32.768,3107,3191.936
56,-10,1,6,0,0,32.768,1,1.024
57,-10,1,6,1,0,32.768,5393,5519.296
58,-10,1,6,2,0,32.768,1,1.024
59,-10,1,6,3,0,32.768,4230,4327.872
60,-10,1,7,0,0,32.768,1,1.024
61,-10,1,7,1,0,32.768,5767,5905.984
62,-10,1,7,2,0,32.768,5382,5500.4800000000005
63,-10,1,7,3,0,32.768,1,1.024
