,Ivdd (A),Ivdd1v8 (A)
0,1.8911187558139524e-07,8.246258139534885e-07
1,1.7572869466950951e-06,6.629338699360343e-07
2,2.0069155113871638e-06,7.095260724637684e-07
3,6.7021472346521245e-06,1.0783042892223736e-06
4,1.3089364803220033e-05,1.358450284436494e-06
5,1.7314703923766833e-07,8.088589372197308e-07
6,6.62809951162791e-06,1.0656001606765332e-06
7,6.593512056367431e-06,1.2311814237995826e-06
8,1.9965918274336302e-06,7.198395420353982e-07
9,1.928466095041322e-06,7.451942499999999e-07
10,1.9427732545045048e-07,8.4365602027027e-07
11,1.9849215681818204e-07,7.988703443181823e-07
12,1.8287380000000015e-07,8.341344847457621e-07
13,1.2710144247787599e-05,1.0467434926253692e-06
14,1.4672663463114763e-06,6.710195245901642e-07
15,6.105872919831221e-06,1.1197071751054854e-06
16,2.102545540412042e-06,8.241903106180673e-07
17,1.2957403275109159e-06,6.718697794759822e-07
18,2.4305653175257715e-06,8.304280927835046e-07
19,1.968540313893653e-06,7.864303138936526e-07
20,2.7405157838312854e-06,8.214591968365549e-07
21,1.6973249125560545e-06,7.149015829596406e-07
22,1.5174963082352935e-06,7.059889905882359e-07
23,1.8961679119638843e-07,8.135949695259595e-07
24,1.8089007745302693e-06,9.230903924843419e-07
25,1.8475063348946117e-07,8.29506326697893e-07
26,1.6657059915789462e-06,7.835513094736843e-07
27,1.7270997624190066e-06,7.216433110151186e-07
28,2.091076609341826e-06,7.132792101910828e-07
29,1.8801458096947977e-06,8.023789892280077e-07
30,1.7881567235494895e-07,8.017656712172921e-07
31,1.956316633603239e-06,8.46525623481781e-07
32,1.490393964444445e-06,1.947352217777779e-06
33,0.0032009379225806413,2.564626645161293e-05
34,0.004610935565669704,2.6760672951885573e-05
35,1.4642510110375267e-06,2.1180841898454734e-06
36,2.290448191446028e-06,2.715291344195517e-06
37,1.5543355946502046e-06,2.7407430864197557e-06
38,0.008299109636363634,2.8027399870129865e-05
39,1.8924617095516569e-06,3.1819055555555557e-06
40,1.996150800915333e-07,3.4239499427917654e-06
41,0.0006386367949790796,9.804586154811705e-06
42,1.5711461344902406e-06,3.0842008242950144e-06
43,0.009383993603133155,3.5065775587467396e-05
44,2.2144811210317453e-06,3.7873467658730155e-06
45,2.0797935555555566e-06,3.7032177979797995e-06
46,3.521968397476343e-06,4.629604321766558e-06
47,0.0077707520426065265,4.401818358395991e-05
48,1.5732696420824305e-06,1.7133444967462032e-06
49,2.1140012167689155e-06,1.757714981595092e-06
50,0.0030987624807197944,1.5059540231362469e-05
51,0.0027831996683673438,1.3151904081632652e-05
52,2.041063748633877e-07,2.2935975846994557e-06
53,0.005190318606138108,2.2947148465473137e-05
54,1.609353133479212e-06,1.993654512035011e-06
55,0.0036835883717948647,1.7508890384615385e-05
56,0.009259775686274502,3.138006705882355e-05
57,0.005726188359375005,2.7114926041666623e-05
58,0.007023879022556392,2.3048352130325834e-05
59,0.004846005714285714,2.2682450649350665e-05
60,0.002947522681992337,4.195597024265644e-05
61,1.3062575801354382e-06,2.697609977426637e-06
62,0.00909302364096081,4.111397863463973e-05
63,0.0056126934114583355,3.6859623958333305e-05
